song,artist,weeks,peak,year,genre,gsId
Silent All These Years,Tori Amos,20,65,1997,Jazz,NULL
"I Believe I Can Fly (From ""Space Jam"")",R. Kelly,31,2,1997,Pop,NULL
"The World Tonight (From ""Fathers  Day"")",Paul McCartney,5,74,1997,Other,NULL
I Shot The Sheriff,Warren G,19,20,1997,Hip hop/Rap,NULL
"The Perfect Drug (From ""Lost Highway"")",Nine Inch Nails,9,46,1997,Alternative rock,NULL
Love II Love,Damage,4,82,1997,Other,NULL
Every Time I Close My Eyes,Babyface,26,6,1997,Other,NULL
"My Heart Is Calling (From ""The Preacher s Wife"")",Whitney Houston,4,77,1997,Dance,NULL
"Let It Go (From ""Set It Off"")",Ray J,20,25,1997,Pop,NULL
"Get Your Groove On (From ""Baps"")",Gyrl,5,91,1997,Other,NULL
Blood On The Dance Floor,Michael Jackson,11,42,1997,Funk,NULL
Gangstas Make The World Go Round,Westside Connection,20,40,1997,Hip hop/Rap,NULL
In My Arms,Erasure,8,55,1997,Other,NULL
Big Daddy,Heavy D,19,18,1997,Other,NULL
You Don t Have To Hurt No More,Mint Condition,3,94,1997,Soul,NULL
If Tomorrow Never Comes,Joose,17,51,1997,Other,NULL
"Too Late, Too Soon",Jon Secada,18,41,1997,Other,NULL
The New Pollution,Beck,7,78,1997,Other,NULL
Havana,Kenny G,19,66,1997,Other,NULL
Jazzy Belle,OutKast,14,52,1997,Rock,NULL
Secret Garden,Bruce Springsteen,16,19,1997,Rock,NULL
Da  Dip,MC Luscious Featuring Kinsui,2,82,1997,Other,NULL
"Don t Let Go (Love) (From ""Set It Off"")",En Vogue,10,2,1997,Soul,NULL
Just Another Day,John Mellencamp,20,46,1997,Rock,NULL
"Step By Step (From ""The Preacher s Wife"")",Whitney Houston,2,97,1997,Pop,NULL
Here s Your Sign (Get The Picture),Bill Engvall With Special Guest Travis Tritt,3,62,1997,Other,NULL
Feelin  It,Jay-Z,1,98,1997,Hip hop/Rap,NULL
In My Bed,Dru Hill,25,4,1997,Pop,NULL
Step Into A World (Rapture s Delight),KRS-One,1,96,1997,Other,NULL
Ghetto Love,Da Brat Featuring T-Boz,15,16,1997,Hip hop/Rap,NULL
I ll Be,Foxy Brown Featuring Jay-Z,3,75,1997,Other,NULL
Get It Together,702,20,10,1997,Other,NULL
Wannabe,Spice Girls,23,1,1997,Dance,NULL
What s On Tonight,Montell Jordan,3,48,1997,Rhythm and blues (R&B),NULL
"Who You Wit (From ""Sprung"")",Jay-Z,4,84,1997,Hip hop/Rap,NULL
Fulton St.,Leschea,2,90,1997,Other,NULL
What's On Tonight,Montell Jordan,17,21,1997,Rhythm and blues (R&B),NULL
Feelin' It,Jay-Z,8,79,1997,Hip hop/Rap,NULL
Ooh Aah... Just A Little Bit,Gina G,25,12,1997,Other,NULL
Step Into A World (Rapture's Delight),KRS-One,12,70,1997,Other,NULL
Da' Dip,MC Luscious Featuring Kinsui,2,87,1997,Other,NULL
I'll Be,Foxy Brown Featuring Jay-Z,17,7,1997,Other,NULL
I Don't Want To\/I Love Me Some Him,Toni Braxton,13,19,1997,Rhythm and blues (R&B),NULL
"Step By Step (From ""The Preacher's Wife"")",Whitney Houston,15,15,1997,Dance,NULL
You Don't Have To Hurt No More,Mint Condition,13,32,1997,Soul,NULL
Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase),17,1,1997,Other,NULL
One Night At A Time,George Strait,12,59,1997,Country,NULL
"Don't Let Go (Love) (From ""Set It Off"")",En Vogue,17,6,1997,Rhythm and blues (R&B),NULL
"The World Tonight (From ""Fathers' Day"")",Paul McCartney,5,64,1997,Other,NULL
Head Over Heels,Allure Featuring NAS,15,35,1997,Other,NULL
Here's Your Sign (Get The Picture),Bill Engvall With Special Guest Travis Tritt,17,43,1997,Other,NULL
The Theme (It's Party Time),Tracey Lee,16,55,1997,Other,NULL
Let Me Clear My Throat,DJ Kool,20,30,1997,Other,NULL
It Must Be Love,Robin S.,5,91,1997,Other,NULL
Sometimes,The Brand New Heavies,5,88,1997,Other,NULL
Naked Eye,Luscious Jackson,23,36,1997,Other,NULL
The Old Apartment,Barenaked Ladies,6,88,1997,Other,NULL
Falling In Love (Is Hard On The Knees),Aerosmith,15,35,1997,Other,NULL
Stop The Gunfight,"Trapp Featuring 2pac, Notorious B.I.G.",7,77,1997,Other,NULL
Do G's Get To Go To Heaven?,Richie Rich,15,57,1997,Other,NULL
"It's Alright, It's Ok",Leah Andreone,15,57,1997,Other,NULL
Don't Stop Movin',Livin' Joy,15,67,1997,Other,NULL
Talk To Me,Wild Orchid,15,48,1997,Other,NULL
Please Don't Go,No Mercy,15,21,1997,Other,NULL
Precious Declaration,Collective Soul,10,65,1997,Heavy metal,NULL
"Don't Cry For Me Argentina (From ""Evita"")",Madonna,15,8,1997,Rock,NULL
On & On,Erykah Badu,14,15,1997,Jazz,NULL
Say... If You Feel Alright,Crystal Waters,15,40,1997,Other,NULL
Nobody,Keith Sweat Featuring Athena Cage,22,4,1997,Rhythm and blues (R&B),NULL
Firestarter,Prodigy,20,30,1997,Other,NULL
Request Line,Zhane,12,39,1997,Other,NULL
"Call Me (From ""Booty Call"")",Too Short & Lil' Kim,3,90,1997,Other,NULL
Without Your Love,Angelina,15,82,1997,Other,NULL
Don't Keep Wasting My Time,Teddy Pendergrass,6,90,1997,Other,NULL
I'm Not Feeling You,Yvette Michele,13,44,1997,Other,NULL
Sho Nuff,Tela Featuring Eightball & MJG,8,58,1997,Other,NULL
Just The Way You Like It,Tasha Holiday,5,93,1997,Other,NULL
I Always Feel Like (Somebody's Watching Me),Tru Featuring Ice Cream Man (Master P),12,71,1997,Other,NULL
It's In Your Eyes,Phil Collins,12,77,1997,Pop,NULL
Runnin',"2Pac, Notorious B.I.G., Radio, Dramacydal & Stretch",10,81,1997,Other,NULL
Fired Up!,Funky Green Dogs,14,80,1997,Other,NULL
No Diggity,BLACKstreet (Featuring Dr. Dre),19,4,1997,Rhythm and blues (R&B),NULL
"I Believe In You And Me (From ""The Preacher's Wife"")",Whitney Houston,11,11,1997,Rhythm and blues (R&B),NULL
"Change The World (From ""Phenomenon"")",Eric Clapton,19,25,1997,Other,NULL
Whateva Man,Redman,15,42,1997,Hip hop/Rap,NULL
Things'll Never Change\/Rapper's Ball,E-40 Featuring Bo-Rock,10,29,1997,Hip hop/Rap,NULL
Desperately Wanting,Better Than Ezra,18,48,1997,Other,NULL
"Fly Like An Eagle (From ""Space Jam"")",Seal,18,10,1997,Pop,NULL
I Like It,The Blackout Allstars,18,25,1997,Other,NULL
Discotheque,U2,11,10,1997,Alternative rock,NULL
"Watch Me Do My Thing (From ""All That"")",Immature Featuring Smooth And Ed From Good Burger,14,32,1997,Other,NULL
"Space Jam (From ""Space Jam"")",Quad City DJ's,10,61,1997,Other,NULL
Luchini aka (This Is It),Camp Lo,17,50,1997,Other,NULL
"Nothin' But The Cavi Hit (From ""Rhyme & Reason"")",Mack 10 & Tha Dogg Pound,9,57,1997,Other,NULL
Under The Water,Merril Bainbridge,6,91,1997,Other,NULL
Get Up,Lost Boyz,17,60,1997,Other,NULL
It's All About U,SWV,9,74,1997,Other,NULL
Take Your Time,Tre,10,77,1997,Other,NULL
What They Do,The Roots,15,34,1997,Funk,NULL
It's Your Body,Johnny Gill Featuring Roger Troutman,8,52,1997,Other,NULL
Bill,Peggy Scott-Adams,4,87,1997,Other,NULL
King Nothing,Metallica,8,90,1997,Heavy metal,NULL
Cold Rock A Party,MC Lyte,15,11,1997,Other,NULL
Hip-Hopera,Bounty Killa featuring the Fugees,5,81,1997,Other,NULL
Weekend Thang,Alfonzo Hunter,5,90,1997,Other,NULL
Thirty-Three,The Smashing Pumpkins,15,39,1997,Alternative rock,NULL
I'm Not Giving You Up,Gloria Estefan,7,60,1997,Pop,NULL
"I Finally Found Someone (From ""The Mirror Has Two Faces"")",Barbra Streisand & Bryan Adams,6,36,1997,Other,NULL
When You're Gone\/Free To Decide,The Cranberries,6,22,1997,Other,NULL
We Danced Anyway,Deana Carter,9,72,1997,Country,NULL
I Love You Always Forever,Donna Lewis,13,16,1997,Other,NULL
Where Do You Go,No Mercy,13,12,1997,Other,NULL
Mouth,Merril Bainbridge,13,7,1997,Other,NULL
If We Fall In Love Tonight,Rod Stewart,13,54,1997,Heavy metal,NULL
"You Must Love Me (From ""Evita"")",Madonna,13,23,1997,Rock,NULL
Colour Of Love,Amber,10,74,1997,Other,NULL
When You Love A Woman,Journey,12,13,1997,Other,NULL
ATLiens,OutKast,12,35,1997,Alternative rock,NULL
Without Love,Donna Lewis,12,41,1997,Other,NULL
I'm Still In Love With You,New Edition,4,18,1997,Funk,NULL
Come See Me,112,12,33,1997,Other,NULL
If It Makes You Happy,Sheryl Crow,12,10,1997,Pop,NULL
Tears,The Isley Brothers,11,55,1997,Rhythm and blues (R&B),NULL
Barrel Of A Gun,Depeche Mode,5,47,1997,Alternative rock,NULL
No Time,Lil' Kim Featuring Puff Daddy,4,41,1997,Dance,NULL
Just Between You And Me,dc Talk,12,34,1997,Other,NULL
You're Makin' Me High\/Let It Flow,Toni Braxton,3,37,1997,Jazz,NULL
Knocks Me Off My Feet,Donell Jones,11,49,1997,Pop,NULL
Never Leave Me Alone,Nate Dogg Featuring Snoop Doggy Dogg,11,36,1997,Pop,NULL
This Is Your Night,Amber,11,24,1997,Other,NULL
Friends,John Michael Montgomery,11,69,1997,Country,NULL
I Fell In Love,Rockell,10,61,1997,Other,NULL
It's All Coming Back To Me Now,Celine Dion,2,35,1997,Rock,NULL
Pony,Ginuwine,10,12,1997,Rhythm and blues (R&B),NULL
"Ain't Nobody (From ""Beavis And Butt-Head Do America"")",LL Cool J,2,89,1997,Hip hop/Rap,NULL
This Is For The Lover In You,"Babyface Feat. LL Cool J, Howard Hewett, Jody Watley & Jef",2,64,1997,Other,NULL
Twisted,Keith Sweat,10,22,1997,Rhythm and blues (R&B),NULL
Hero Of The Day,Metallica,10,60,1997,Heavy metal,NULL
"Last Night (From ""The Nutty Professor"")",Az Yet,10,9,1997,Other,NULL
Counting Blue Cars,Dishwalla,9,30,1997,Other,NULL
Drop Dead Gorgeous,Republica,3,93,1997,Other,NULL
Electrolite,R.E.M.,2,96,1997,Alternative rock,NULL
You Don't Have To Love Me,Monifah,1,94,1997,Rhythm and blues (R&B),NULL
Street Dreams,Nas,1,96,1997,Hip hop/Rap,NULL
On ,Erykah Badu,5,12,1997,Rhythm and blues (R&B),NULL
It s Your Body,Johnny Gill Featuring Roger Troutman,8,43,1997,Other,NULL
"Ain t Nobody (From ""Beavis And Butt-Head Do America"")",LL Cool J,8,46,1997,Hip hop/Rap,NULL
The Theme (It s Party Time),Tracey Lee,2,63,1997,Other,NULL
Passion,K5,3,98,1997,Other,NULL
You re Makin  Me High\/Let It Flow,Toni Braxton,8,26,1997,Rhythm and blues (R&B),NULL
My Baby Mama,QT,4,94,1997,Other,NULL
When You re Gone\/Free To Decide,The Cranberries,8,22,1997,Other,NULL
Please Don t Go,No Mercy,3,31,1997,Other,NULL
It s All Coming Back To Me Now,Celine Dion,8,9,1997,Rock,NULL
Street Dreams,NAS,8,22,1997,Hip hop/Rap,NULL
I m Still In Love With You,New Edition,8,7,1997,Hip hop/Rap,NULL
"How Could You (From ""Bulletproof"")",K-Ci ,8,57,1997,Other,NULL
"Space Jam (From ""Space Jam"")",Quad City DJ s,8,37,1997,Other,NULL
"Don t Cry For Me Argentina (From ""Evita"")",Madonna,1,17,1997,Pop,NULL
"Nothin  But The Cavi Hit (From ""Rhyme ",Mack 10 ,8,38,1997,Hip hop/Rap,NULL
I m Not Giving You Up,Gloria Estefan,8,40,1997,Dance,NULL
I Can Make It Better,Luther Vandross,8,80,1997,Soul,NULL
Things ll Never Change\/Rapper s Ball,E-40 Featuring Bo-Rock,4,30,1997,Hip hop/Rap,NULL
It s In Your Eyes,Phil Collins,2,79,1997,Pop,NULL
"I Finally Found Someone (From ""The Mirror Has Two Faces"")",Barbra Streisand ,8,9,1997,Other,NULL
You Don t Have To Love Me,Monifah,8,82,1997,Rhythm and blues (R&B),NULL
Stand Up,Love Tribe,5,89,1997,Other,NULL
I Always Feel Like (Somebody s Watching Me),Tru Featuring Ice Cream Man (Master P),3,71,1997,Other,NULL
This Is For The Lover In You,"Babyface Feat. LL Cool J, Howard Hewett, Jody Watley ",8,21,1997,Other,NULL
Setting Sun,CHEMICAL BROTHERS,5,80,1997,Other,NULL
I m Not Feeling You,Yvette Michele,1,73,1997,Other,NULL
Runnin ,"2Pac, Notorious B.I.G., Radio, Dramacydal ",4,84,1997,Other,NULL
No Time,Lil  Kim Featuring Puff Daddy,8,18,1997,Pop,NULL
Let s Ride,Richie Rich,8,67,1997,Other,NULL
"I Believe In You And Me (From ""The Preacher s Wife"")",Whitney Houston,8,4,1997,Soul,NULL
"It s Alright, It s Ok",Leah Andreone,5,67,1997,Other,NULL
Don t Stop Movin ,Livin  Joy,5,70,1997,Other,NULL
It s All About U,SWV,6,61,1997,Other,NULL
What Kind Of Man Would I Be,Mint Condition,7,18,1997,Rhythm and blues (R&B),NULL
You Learn\/You Oughta Know,Alanis Morissette,7,31,1997,Rock,NULL
Nowhere To Go,Melissa Etheridge,7,70,1997,Rock,NULL
You Can Make History (Young Again),Elton John,7,81,1997,Pop,NULL
All I Want,Susanna Hoffs,7,77,1997,Other,NULL
When Boy Meets Girl,Total,7,56,1997,Rhythm and blues (R&B),NULL
Sugar Honey Ice Tea,Goodfellaz,7,64,1997,Other,NULL
"Another You, Another Me",Brady Seals,4,91,1997,Other,NULL
Falling,Montell Jordan,7,22,1997,Rhythm and blues (R&B),NULL
The Moment,Kenny G,7,68,1997,Other,NULL
Birmingham,Amanda Marshall,6,85,1997,Other,NULL
"Bohemian Rhapsody (From ""High School High"")",The Braids,6,63,1997,Other,NULL
At Night I Pray,Wild Orchid,6,77,1997,Other,NULL
One And One,Robert Miles Featuring Maria Nayler,6,82,1997,Other,NULL
Key West Intermezzo (I Saw You First),John Mellencamp,6,36,1997,Rock,NULL
Bow Down,Westside Connection,6,41,1997,Hip hop/Rap,NULL
Dance Into The Light,Phil Collins,6,80,1997,Jazz,NULL
Macarena (Bayside Boys Mix),Los Del Rio,6,10,1997,Pop,NULL
Let s Make A Night To Remember,Bryan Adams,5,43,1997,Rock,NULL
Bittersweet Me,R.E.M.,5,71,1997,Alternative rock,NULL
My Boo,Ghost Town DJ s,5,40,1997,Other,NULL
"Tell Me (From ""Eddie"")",Dru Hill,5,27,1997,Pop,NULL
I Luv U Baby,The Original,5,83,1997,Other,NULL
"What s Love Got To Do With It (From ""Supercop"")",Warren G Featuring Adina Howard,4,73,1997,Rhythm and blues (R&B),NULL
Leavin ,The Tony Rich Project,4,88,1997,Other,NULL
The Sound Of My Tears,Deborah Cox,4,97,1997,Rhythm and blues (R&B),NULL
Steelo,702,4,34,1997,Other,NULL
God Bless The Child,Shania Twain,4,75,1997,Rock,NULL
Sittin  On Top Of The World,Da Brat,4,62,1997,Hip hop/Rap,NULL
Floatin  On Your Love,The Isley Brothers Featuring Angela Winbush,4,82,1997,Rhythm and blues (R&B),NULL
Loungin,LL Cool J,3,47,1997,Hip hop/Rap,NULL
Every Light In The House,Trace Adkins,3,78,1997,Country,NULL
Music Makes Me High,Lost Boyz,3,91,1997,Hip hop/Rap,NULL
"That Thing You Do! (From ""That Thing You Do!"")",The Wonders,3,86,1997,Other,NULL
Little Bitty,Alan Jackson,3,58,1997,Other,NULL
Tonight Is The Night,Le Click,3,68,1997,Other,NULL
Let s Get The Mood Right,Johnny Gill,3,94,1997,Rhythm and blues (R&B),NULL
Lady,Mista,3,90,1997,Rhythm and blues (R&B),NULL
Hit Me Off,New Edition,2,71,1997,Pop,NULL
Macarena Christmas,Los Del Rio,2,57,1997,Pop,NULL
If Your Girl Only Knew,Aaliyah,2,51,1997,Other,NULL
"Missing You (From ""Set It Off"")","Brandy, Tamia, Gladys Knight ",1,50,1997,Other,NULL
That s How It Is (It s Like That),Redman Featuring K-Solo,1,100,1997,Hip hop/Rap,NULL
Jellyhead,Crush,1,72,1997,Rock,NULL
Give Me One Reason,Tracy Chapman,39,3,1996,Rhythm and blues (R&B),NULL
Tonight Is The Night,Le Click,11,75,1996,Other,NULL
I'm Still In Love With You,New Edition,8,9,1996,Funk,NULL
Barely Breathing,Duncan Sheik,5,62,1996,Alternative rock,NULL
Counting Blue Cars,Dishwalla,39,15,1996,Rock,NULL
Street Dreams,Nas,8,27,1996,Hip hop/Rap,NULL
I Like It,The Blackout Allstars,4,59,1996,Other,NULL
I Fell In Love,Rockell,8,65,1996,Dance,NULL
"Missing You (From ""Set It Off"")","Brandy, Tamia, Gladys Knight & Chaka Khan",19,25,1996,Other,NULL
Little Bitty,Alan Jackson,7,60,1996,Other,NULL
Knocks Me Off My Feet,Donell Jones,9,51,1996,Pop,NULL
Steelo,702,16,32,1996,Other,NULL
What Kind Of Man Would I Be,Mint Condition,17,17,1996,Pop,NULL
Key West Intermezzo (I Saw You First),John Mellencamp,18,14,1996,Rock,NULL
Ooh Aah... Just A Little Bit,Gina G,5,34,1996,Dance,NULL
Use Your Heart,SWV,20,22,1996,Rhythm and blues (R&B),NULL
"Space Jam (From ""Space Jam"")",Quad City DJ's,2,56,1996,Hip hop/Rap,NULL
Un-Break My Heart,Toni Braxton,10,1,1996,Soul,NULL
Floatin' On Your Love,The Isley Brothers Featuring Angela Winbush,14,47,1996,Funk,NULL
Just Between You And Me,dc Talk,7,29,1996,Hip hop/Rap,NULL
Let's Make A Night To Remember,Bryan Adams,18,24,1996,Heavy metal,NULL
Falling,Montell Jordan,13,18,1996,Hip hop/Rap,NULL
"What's Love Got To Do With It (From ""Supercop"")",Warren G Featuring Adina Howard,15,32,1996,Rhythm and blues (R&B),NULL
When Boy Meets Girl,Total,10,50,1996,Rhythm and blues (R&B),NULL
Sugar Honey Ice Tea,Goodfellaz,3,78,1996,Other,NULL
Thirty-Three,The Smashing Pumpkins,5,49,1996,Alternative rock,NULL
Bittersweet Me,R.E.M.,7,46,1996,Alternative rock,NULL
At Night I Pray,Wild Orchid,14,63,1996,Pop,NULL
"Nothin' But The Cavi Hit (From ""Rhyme & Reason"")",Mack 10 & Tha Dogg Pound,3,47,1996,Other,NULL
If It Makes You Happy,Sheryl Crow,15,11,1996,Pop,NULL
When You Love A Woman,Journey,10,12,1996,Rock,NULL
"I Finally Found Someone (From ""The Mirror Has Two Faces"")",Barbra Streisand & Bryan Adams,6,8,1996,Other,NULL
Mouth,Merril Bainbridge,17,4,1996,Alternative rock,NULL
Jellyhead,Crush,20,72,1996,Rock,NULL
Cold Rock A Party,MC Lyte,5,31,1996,Hip hop/Rap,NULL
Dance Into The Light,Phil Collins,10,45,1996,Rock,NULL
"That Thing You Do! (From ""That Thing You Do!"")",The Wonders,12,41,1996,Other,NULL
Do You Miss Me,Jocelyn Enriquez,23,49,1996,Dance,NULL
Let's Ride,Richie Rich,5,74,1996,Hip hop/Rap,NULL
Birmingham,Amanda Marshall,14,43,1996,Other,NULL
The Moment,Kenny G,7,63,1996,Other,NULL
Bow Down,Westside Connection,14,21,1996,Hip hop/Rap,NULL
"Don't Let Go (Love) (From ""Set It Off"")",En Vogue,8,3,1996,Soul,NULL
You Learn\/You Oughta Know,Alanis Morissette,23,6,1996,Rock,NULL
That's How It Is (It's Like That),Redman Featuring K-Solo,1,95,1996,Hip hop/Rap,NULL
Every Light In The House,Trace Adkins,6,86,1996,Country,NULL
Let's Get The Mood Right,Johnny Gill,15,53,1996,Rhythm and blues (R&B),NULL
I Love You Always Forever,Donna Lewis,28,2,1996,Pop,NULL
"Change The World (From ""Phenomenon"")",Eric Clapton,24,5,1996,Heavy metal,NULL
Foolish Games\/You Were Meant For Me,Jewel,5,33,1996,Pop,NULL
Where Do You Go,No Mercy,26,5,1996,Pop,NULL
You're Makin' Me High\/Let It Flow,Toni Braxton,30,1,1996,Rhythm and blues (R&B),NULL
Hit Me Off,New Edition,18,3,1996,Pop,NULL
Nobody,Keith Sweat Featuring Athena Cage,13,3,1996,Rhythm and blues (R&B),NULL
Naked Eye,Luscious Jackson,2,79,1996,Pop,NULL
No Time,Lil' Kim Featuring Puff Daddy,8,20,1996,Dance,NULL
Everything Falls Apart\/Small Wonders,dog's eye view,14,66,1996,Alternative rock,NULL
Loungin,LL Cool J,26,3,1996,Hip hop/Rap,NULL
Macarena Christmas,Los Del Rio,2,66,1996,Pop,NULL
"How Could You (From ""Bulletproof"")",K-Ci & JoJo,7,53,1996,Rhythm and blues (R&B),NULL
"I Believe I Can Fly (From ""Space Jam"")",R. Kelly,3,2,1996,Pop,NULL
Leavin',The Tony Rich Project,4,92,1996,Other,NULL
"Fly Like An Eagle (From ""Space Jam"")",Seal,2,17,1996,Rhythm and blues (R&B),NULL
"Bohemian Rhapsody (From ""High School High"")",The Braids,11,42,1996,Other,NULL
God Bless The Child,Shania Twain,1,80,1996,Pop,NULL
My Boo,Ghost Town DJ's,26,31,1996,Hip hop/Rap,NULL
This Is Your Night,Amber,29,25,1996,Other,NULL
One And One,Robert Miles Featuring Maria Nayler,13,54,1996,Other,NULL
No Diggity,BLACKstreet (Featuring Dr. Dre),12,1,1996,Pop,NULL
When You're Gone\/Free To Decide,The Cranberries,6,44,1996,Alternative rock,NULL
"Tell Me (From ""Eddie"")",Dru Hill,18,18,1996,Pop,NULL
Hero Of The Day,Metallica,8,73,1996,Heavy metal,NULL
Never Leave Me Alone,Nate Dogg Featuring Snoop Doggy Dogg,8,33,1996,Pop,NULL
Come See Me,112,8,39,1996,Other,NULL
"I Believe In You And Me (From ""The Preacher's Wife"")",Whitney Houston,1,7,1996,Soul,NULL
Nowhere To Go,Melissa Etheridge,12,40,1996,Rock,NULL
Without Love,Donna Lewis,3,52,1996,Pop,NULL
If Your Girl Only Knew,Aaliyah,18,11,1996,Other,NULL
It's All Coming Back To Me Now,Celine Dion,20,2,1996,Pop,NULL
Macarena (Bayside Boys Mix),Los Del Rio,36,1,1996,Pop,NULL
It's Your Body,Johnny Gill Featuring Roger Troutman,3,63,1996,Rhythm and blues (R&B),NULL
C'mon N' Ride It (The Train),Quad City DJ's,42,3,1996,Hip hop/Rap,NULL
I Don't Need Your Love,Angelina,11,69,1996,Other,NULL
Pony,Ginuwine,17,6,1996,Dance,NULL
Music Makes Me High,Lost Boyz,13,51,1996,Hip hop/Rap,NULL
I Luv U Baby,The Original,11,66,1996,Other,NULL
If We Fall In Love Tonight,Rod Stewart,7,55,1996,Heavy metal,NULL
Sittin' On Top Of The World,Da Brat,12,30,1996,Hip hop/Rap,NULL
You Can Make History (Young Again),Elton John,10,70,1996,Rock,NULL
Desperately Wanting,Better Than Ezra,2,64,1996,Other,NULL
I Can Make It Better,Luther Vandross,2,83,1996,Rhythm and blues (R&B),NULL
I'm Not Giving You Up,Gloria Estefan,4,57,1996,Dance,NULL
This Is For The Lover In You,"Babyface Feat. LL Cool J, Howard Hewett, Jody Watley & Jef",10,6,1996,Other,NULL
ATLiens,OutKast,5,40,1996,Alternative rock,NULL
All I Want,Susanna Hoffs,5,82,1996,Pop,NULL
"Ain't Nobody (From ""Beavis And Butt-Head Do America"")",LL Cool J,1,98,1996,Hip hop/Rap,NULL
Friends,John Michael Montgomery,1,89,1996,Country,NULL
"Last Night (From ""The Nutty Professor"")",Az Yet,19,9,1996,Other,NULL
Twisted,Keith Sweat,28,2,1996,Rhythm and blues (R&B),NULL
"You Must Love Me (From ""Evita"")",Madonna,7,18,1996,Dance,NULL
Who Will Save Your Soul,Jewel,30,11,1996,Rock,NULL
Follow You Down\/Til I Hear It From You,Gin Blossoms,46,9,1996,Rock,NULL
"Touch Myself (From ""Fled"")",T-Boz,20,40,1996,Other,NULL
Just The Way (Playas Play),Alfonzo Hunter,8,85,1996,Other,NULL
Ready To Go,Republica,20,56,1996,Alternative rock,NULL
Can't Knock The Hustle,Jay-Z,14,73,1996,Hip hop/Rap,NULL
Your Secret Love,Luther Vandross,13,52,1996,Soul,NULL
Po Pimp,Do Or Die (Featuring Twista),20,22,1996,Hip hop/Rap,NULL
Ascension (Don't Ever Wonder),Maxwell,18,36,1996,Funk,NULL
"Why Does It Hurt So Bad (From ""Waiting To Exhale"")",Whitney Houston,20,26,1996,Soul,NULL
Beyond The Invisible,Enigma,3,81,1996,Other,NULL
Strawberry Wine,Deana Carter,10,65,1996,Country,NULL
Only You,112 Featuring The Notorious B.I.G.,28,13,1996,Other,NULL
Stupid Girl,Garbage,20,24,1996,Pop,NULL
Elevators (Me & You),OutKast,20,12,1996,Pop,NULL
Like I Do,For Real,8,72,1996,Dance,NULL
Devil's Haircut,Beck,4,94,1996,Other,NULL
Missing You,Tina Turner,9,84,1996,Pop,NULL
Snapshot,RuPaul,5,95,1996,Dance,NULL
Tell Me (I'll Be Around),Shades,17,50,1996,Rock,NULL
How Do U Want It\/California Love,2Pac Featuring KC And JoJo,24,1,1996,Other,NULL
Don't Go Away,Fun Factory,4,93,1996,Other,NULL
The Things That You Do,Gina Thompson,20,41,1996,Rhythm and blues (R&B),NULL
I Can't Sleep Baby (If I),R. Kelly,20,5,1996,Hip hop/Rap,NULL
Macarena,Los Del Rio,21,23,1996,Pop,NULL
DJ Girl,Katalina,11,86,1996,Other,NULL
Tucker's Town,Hootie & The Blowfish,20,38,1996,Alternative rock,NULL
The Child (Inside),Qkumba Zoo,7,69,1996,Dance,NULL
Shake A Lil' Somethin'...,The 2 Live Crew,15,72,1996,Other,NULL
I'm So Happy I Can't Stop Crying,Sting,3,94,1996,Rock,NULL
Don't Look Back In Anger,Oasis,14,55,1996,Alternative rock,NULL
That Girl,Maxi Priest Featuring Shaggy,20,20,1996,Other,NULL
"I Like (From ""The Nutty Professor"")",Montell Jordan Featuring Slick Rick,20,28,1996,Hip hop/Rap,NULL
Me And Those Dreamin' Eyes Of Mine,D'Angelo,6,74,1996,Hip hop/Rap,NULL
"Insensitive (From ""Bed Of Roses"")",Jann Arden,40,12,1996,Pop,NULL
Always Be My Baby,Mariah Carey,32,1,1996,Rhythm and blues (R&B),NULL
You'll Be Mine (Party Time),Gloria Estefan,10,70,1996,Pop,NULL
"Tonight, Tonight",The Smashing Pumpkins,20,36,1996,Alternative rock,NULL
Nobody Knows,The Tony Rich Project,44,2,1996,Other,NULL
All I See,A+,14,66,1996,Other,NULL
E-Bow The Letter,R.E.M.,9,49,1996,Alternative rock,NULL
"Wu-Wear: The Garment Renaissance (From ""High School High"")",RZA Feat. Method Man & Cappadonna,12,60,1996,Other,NULL
Sweet Dreams,La Bouche,32,13,1996,Pop,NULL
If I Ruled The World,Nas,20,53,1996,Hip hop/Rap,NULL
Blue,LeAnn Rimes,20,26,1996,Pop,NULL
Like A Woman,The Tony Rich Project,15,41,1996,Other,NULL
Where It's At,Beck,19,61,1996,Other,NULL
"Get Ready, Here It Comes (It's The Choo-Choo)",Southsyde B.O.I.Z.,2,96,1996,Other,NULL
Guys Do It All The Time,Mindy McCready,9,72,1996,Country,NULL
Blackberry Molasses,Mista,18,53,1996,Rhythm and blues (R&B),NULL
Gettin' It,Too Short Feat. Parliament Funkadelic,10,68,1996,Other,NULL
Jealousy,Natalie Merchant,20,23,1996,Other,NULL
"Walls (From ""She's The One"")",Tom Petty And The Heartbreakers,4,69,1996,Rock,NULL
"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,33,1,1996,Rock,NULL
Ironic,Alanis Morissette,32,4,1996,Alternative rock,NULL
Until It Sleeps,Metallica,20,10,1996,Heavy metal,NULL
Why I Love You So Much\/Ain't Nobody,Monica,20,9,1996,Rhythm and blues (R&B),NULL
Maria,Ricky Martin,14,88,1996,Dance,NULL
All Along,Blessid Union Of Souls,14,70,1996,Rock,NULL
